Date,Product_Code,Product_Category,Order_Demand
2012-01-05,Product_0025,Category_005,1600.0
2012-01-06,Product_0025,Category_005,1000.0
2012-01-07,Product_0025,Category_005,0.0
2012-01-08,Product_0025,Category_005,0.0
2012-01-09,Product_0025,Category_005,0.0
2012-01-10,Product_0025,Category_005,600.0
2012-01-11,Product_0025,Category_005,800.0
2012-01-12,Product_0025,Category_005,600.0
2012-01-13,Product_0025,Category_005,1500.0
2012-01-14,Product_0025,Category_005,0.0
2012-01-15,Product_0025,Category_005,0.0
2012-01-16,Product_0025,Category_005,1900.0
2012-01-17,Product_0025,Category_005,3200.0
2012-01-18,Product_0025,Category_005,0.0
2012-01-19,Product_0025,Category_005,1300.0
2012-01-20,Product_0025,Category_005,700.0
2012-01-21,Product_0025,Category_005,0.0
2012-01-22,Product_0025,Category_005,0.0
2012-01-23,Product_0025,Category_005,0.0
2012-01-24,Product_0025,Category_005,300.0
2012-01-25,Product_0025,Category_005,500.0
2012-01-26,Product_0025,Category_005,700.0
2012-01-27,Product_0025,Category_005,1000.0
2012-01-28,Product_0025,Category_005,0.0
2012-01-29,Product_0025,Category_005,0.0
2012-01-30,Product_0025,Category_005,400.0
2012-01-31,Product_0025,Category_005,1300.0
2012-02-01,Product_0025,Category_005,600.0
2012-02-02,Product_0025,Category_005,0.0
2012-02-03,Product_0025,Category_005,200.0
2012-02-04,Product_0025,Category_005,0.0
2012-02-05,Product_0025,Category_005,0.0
2012-02-06,Product_0025,Category_005,2300.0
2012-02-07,Product_0025,Category_005,0.0
2012-02-08,Product_0025,Category_005,1300.0
2012-02-09,Product_0025,Category_005,0.0
2012-02-10,Product_0025,Category_005,500.0
2012-02-11,Product_0025,Category_005,0.0
2012-02-12,Product_0025,Category_005,0.0
2012-02-13,Product_0025,Category_005,1200.0
2012-02-14,Product_0025,Category_005,300.0
2012-02-15,Product_0025,Category_005,500.0
2012-02-16,Product_0025,Category_005,200.0
2012-02-17,Product_0025,Category_005,0.0
2012-02-18,Product_0025,Category_005,0.0
2012-02-19,Product_0025,Category_005,0.0
2012-02-20,Product_0025,Category_005,200.0
2012-02-21,Product_0025,Category_005,2000.0
2012-02-22,Product_0025,Category_005,1500.0
